book_title,author,book_details,review_rating,sentimiento_etiqueta,main_genre
100 Strokes of the Brush Before Bed,Melissa Panarello,"An instant blockbuster in Italy where it has sold over 700,000 copies, and now an international literary phenomenon, 100 Strokes of the Brush Before Bed is the fictionalized memoir of Melissa P., a Sicilian teenager whose quest for love rapidly devolves into a shocking journey of sexual discovery.Melissa begins her diary a virgin, but a stormy affair at the age of fourteen leads her to regard sex as a means of self-discovery, and for the next two years she plunges into a succession of encounters with various partners, male and female, her age and much older, some met through schoolmates, others through newspaper ads and Internet chat rooms. In graphic detail she describes her entry into a Dante-esque underworld of eroticism, where she willingly participates in group sex and sadomasochism, as well as casual pickups. Melissa's secret life is concealed from family and friends, revealed only in her diary entries.Told with disarming candor, Melissa P.'s bittersweet tour of extreme desires is as poignant as it is titillating. One Hundred Strokes of the Brush Before Bed is a stunning erotic debut, a Story of O for our times.",1.0,Negativo,Fiction
1001 Books for Every Mood,Hallie Ephron,"What are you in the mood for?A little romance? Get swept away with Scarlett and Rhett, become enriched in Love in the Time of Cholera, or understand the pangs of want with Jane Eyre.A grand escape? Hit the high seas aboard Gulliver's several ships, slide down the rabbit hole alongside Alice, or shoot into the fantastic beyond with The Hitchhiker's Guide to the Galaxy.Some thrilling chills? Let The Turn of the Screw haunt your dreams, attend prom with Carrie, or go off the deep end in American Psycho. However you feel (or want to feel), let 1001 Books for Every Mood be your guide. Acclaimed critic and novelist Hallie Ephron serves up a literary feast, sure to satisfy your emotional appetite. Whether you want to cry or laugh, remember or forget, behave or misbehave-it's all here. It's your must-have guide to hours and hours of reading pleasure, now and forever-no matter what your mood!Want even more?",3.3,Negativo,Nonfiction
1001 Movies You Must See Before You Die,Steven Jay Schneider,"This brand-new edition of 1001 Movies You Must See Before You Die covers more than a century of movie history. Every film profile is packed with details including the director and cast, a plot summary and production notes, and little-known facts relating to the film’s history.This must-have guide chronicles the complete history of filmmaking, from silent-era sensations such as D. W. Griffith’s controversial The Birth of a Nation to recent Oscar nominees like Birdman, Boyhood and The Grand Budapest Hotel . Also described are Hollywood’s most memorable musicals, great dramas, screwball comedies, experimental “New Wave” films from 1950s and ‘60s Europe, major films noir, classic westerns, action and adventure films, and outstanding documentaries.This all-new edition has been updated with:",3.3,Negativo,Nonfiction
102 Minutes: The Untold Story of the Fight to Survive Inside the Twin Towers,Jim Dwyer,"The dramatic and moving account of the struggle for life inside the World Trade Center on the morning of September 11, when every minute countedAt 8:46 am on September 11, 2001, 14,000 people were inside the twin towers-reading e-mails, making trades, eating croissants at Windows on the World. Over the next 102 minutes, each would become part of a drama for the ages, one witnessed only by the people who lived it-until now.Of the millions of words written about this wrenching day, most were told from the outside looking in. New York Times reporters Jim Dwyer and Kevin Flynn have taken the opposite-and far more revealing-approach. Reported from the perspectives of those inside the towers, 102 Minutes captures the little-known stories of ordinary people who took extraordinary steps to save themselves and others. Beyond this stirring panorama stands investigative reporting of the first rank. An astounding number of people actually survived the plane impacts but were unable to escape, and the authors raise hard questions about building safety and tragic flaws in New York's emergency preparedness.Dwyer and Flynn rely on hundreds of interviews with rescuers, thousands of pages of oral histories, and countless phone, e-mail, and emergency radio transcripts. They cross a bridge of voices to go inside the infernos, seeing cataclysm and heroism, one person at a time, to tell the affecting, authoritative saga of the men and women-the nearly 12,000 who escaped and the 2,749 who perished-as they made 102 minutes count as never before.  102 Minutes is a 2005 National Book Award Finalist for Nonfiction.",4.5,Positivo,Nonfiction
11 Birthdays,Wendy Mass,"GROUNDHOG DAY meets FLIPPED in this tale of a girl stuck in her birthday.It's Amanda's 11th birthday and she is super excited -- after all, 11 is so different from 10. But from the start, everything goes wrong. The worst part of it all is that she and her best friend, Leo, with whom she's shared every birthday, are on the outs and this will be the first birthday they haven't shared together. When Amanda turns in for the night, glad to have her birthday behind her, she wakes up happy for a new day. Or is it? Her birthday seems to be repeating iself. What is going on?! And how can she fix it? Only time, friendship, and a little luck will tell. . .",3.7,Positivo,Fantasy
11.22.63,Stephen King,"On November 22, 1963, three shots rang out in Dallas, President Kennedy died, and the world changed. Unless...In 2011, Jake Epping, an English teacher from Lisbon Falls, Maine, sets out on an insane — and insanely possible — mission to prevent the Kennedy assassination.Leaving behind a world of computers and mobile phones, he goes back to a time of big American cars and diners, of Lindy Hopping, the sound of Elvis, and the taste of root beer.In this haunting world, Jake falls in love with Sadie, a beautiful high school librarian. And, as the ominous date of 11/22/63 approaches, he encounters a troubled loner named Lee Harvey Oswald...",4.0,Positivo,Fiction
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"What does everyone in the modern world need to know? Renowned psychologist Jordan B. Peterson's answer to this most difficult of questions uniquely combines the hard-won truths of ancient tradition with the stunning revelations of cutting-edge scientific research.Humorous, surprising, and informative, Dr. Peterson tells us why skateboarding boys and girls must be left alone, what terrible fate awaits those who criticize too easily, and why you should always pet a cat when you meet one on the street.What does the nervous system of the lowly lobster have to tell us about standing up straight (with our shoulders back) and about success in life? Why did ancient Egyptians worship the capacity to pay careful attention as the highest of gods? What dreadful paths do people tread when they become resentful, arrogant, and vengeful? Dr. Peterson journeys broadly, discussing discipline, freedom, adventure, and responsibility, distilling the world's wisdom into 12 practical and profound rules for life. 12 Rules for Life shatters the modern commonplaces of science, faith, and human nature while transforming and ennobling the mind and spirit of its listeners.",3.0,Negativo,Nonfiction
13 Little Blue Envelopes,Maureen Johnson,"When seventeen-year-old Ginny receives a packet of mysterious envelopes from her favorite aunt, she leaves New Jersey to criss-cross Europe on a sort of scavenger hunt that transforms her life. Reprint.",2.0,Negativo,Young Adult
13 Treasures,Michelle Harrison,"No one else can see the evil fairies that rouse Tanya from her sleep, torturing her at the slightest mention of their existence, but they are as real to the 13-year-old as anything she's ever known. She cannot rid herself of them, nor can she ignore them. But it is her insistence on responding to them that has her banished to her grandmother's secluded countryside manor.There is much to explore and even more to fear in the woods surrounding the estate. But, the forest isn't the only source of dark secrets, and Tanya soon finds herself entangled in a mystery that could trap her in the fairy realm forever.",3.5,Positivo,Fantasy
1916: A Novel of the Irish Rebellion,Morgan Llywelyn,"Ned Halloran has lost both his parents--and almost his own life--to the sinking of the Titanic . Determined to keep what little he has, he returns to his homeland in Ireland and enrolls at Saint Enda's school in Dublin. Saint Enda's headmaster is the renowned scholar and poet, Patrick Pearse--who is soon to gain greater fame as a rebel and patriot. Ned becomes totally involved with the growing revolution...and the sacrifices it will demand.Through Ned's eyes, 1916 examines the Irish fight for freedom--inspired by poets and schoolteachers, fueled by a desperate desire for independence, and played out in the historic streets of Dublin against the backdrop of World War I. It is the story of the brave men and heroic women who, for a few unforgettable days, managed to hold out against the might of the British Empire to realize an impossible dream.",4.0,Positivo,Historical Fiction
1Q84,Haruki Murakami,1949年にジョージ・オーウェルは、近未来小説としての『1984』を刊行した。そして2009年、『1Q84』は逆の方向から1984年を描いた近過去小説である。そこに描かれているのは「こうであったかもしれない」世界なのだ。私たちが生きている現在が、「そうではなかったかもしれない」世界であるのと、ちょうど同じように。,2.3,Negativo,Fiction
1Q84 #1-2,Haruki Murakami,"The year is 1984 and the city is Tokyo.A young woman named Aomame follows a taxi driver’s enigmatic suggestion and begins to notice puzzling discrepancies in the world around her. She has entered, she realizes, a parallel existence, which she calls 1Q84 —“Q is for ‘question mark.’ A world that bears a question.” Meanwhile, an aspiring writer named Tengo takes on a suspect ghostwriting project. He becomes so wrapped up with the work and its unusual author that, soon, his previously placid life begins to come unraveled. A love story, a mystery, a fantasy, a novel of self-discovery, a dystopia to rival George Orwell’s—1Q84 is Haruki Murakami’s most ambitious undertaking yet: an instant best seller in his native Japan, and a tremendous feat of imagination from one of our most revered contemporary writers",3.0,Negativo,Fiction
1Q84 Book 1,Haruki Murakami,1949年にジョージ・オーウェルは、近未来小説としての『1984』を刊行した。そして2009年、『1Q84』は逆の方向から1984年を描いた近過去小説である。そこに描かれているのは「こうであったかもしれない」世界なのだ。私たちが生きている現在が、「そうではなかったかもしれない」世界であるのと、ちょうど同じように。,4.0,Positivo,Fiction
2 States: The Story of My Marriage,Chetan Bhagat,"Love marriages around the world are simple: Boy loves girl. Girl loves boy. They get married. In India, there are a few more steps: Boy loves Girl. Girl loves Boy. Girl's family has to love boy. Boy's family has to love girl. Girl's Family has to love Boy's Family. Boy's family has to love girl's family. Girl and Boy still love each other. They get married.Welcome to 2 States, a story about Krish and Ananya. They are from two different states of India, deeply in love and want to get married. Of course, their parents don't agrees. To convert their love story into a love marriage, the couple have a tough battle in front of them. For it is easy to fight and rebel, but it is much harder to convince. Will they make it?From the author of blockbusters Five Point Someone, One Night @ the Call Center and The 3 Mistakes of My Life, comes another witty tale about inter-community marriages in modern india.",1.0,Negativo,Fiction
21 Lessons for the 21st Century,Yuval Noah Harari,"In Sapiens, he explored our past. In Homo Deus, he looked to our future. Now, one of the most innovative thinkers on the planet turns to the present to make sense of today's most pressing issues.How do computers and robots change the meaning of being human? How do we deal with the epidemic of fake news? Are nations and religions still relevant? What should we teach our children?Yuval Noah Harari's 21 Lessons for the 21st Century is a probing and visionary investigation into today's most urgent issues as we move into the uncharted territory of the future. As technology advances faster than our understanding of it, hacking becomes a tactic of war, and the world feels more polarized than ever, Harari addresses the challenge of navigating life in the face of constant and disorienting change and raises the important questions we need to ask ourselves in order to survive.In twenty-one accessible chapters that are both provocative and profound, Harari builds on the ideas explored in his previous books, untangling political, technological, social, and existential issues and offering advice on how to prepare for a very different future from the world we now live in: How can we retain freedom of choice when Big Data is watching us? What will the future workforce look like, and how should we ready ourselves for it? How should we deal with the threat of terrorism? Why is liberal democracy in crisis?Harari's unique ability to make sense of where we have come from and where we are going has captured the imaginations of millions of readers. Here he invites us to consider values, meaning, and personal engagement in a world full of noise and uncertainty. When we are deluged with irrelevant information, clarity is power. Presenting complex contemporary challenges clearly and accessibly, 21 Lessons for the 21st Century is essential reading.",3.3,Negativo,Nonfiction
2666,Roberto Bolaño,"A cuatro profesores de literatura, Pelletier, Morini, Espinoza y Norton, los une su fascinación por la obra de Beno von Archimboldi, un enigmático escritor alemán cuyo prestigio crece en todo el mundo. La complicidad se vuelve vodevil intelectual y desemboca en un peregrinaje a Santa Teresa (trasunto de Ciudad Juárez), donde hay quien dice que Archimboldi ha sido visto. Ya allí, Pelletier y Espinoza se enteran de que la ciudad es desde años atrás escenario de una larga cadena de crímenes: en los vertederos aparecen cadáveres de mujeres con señales de haber sido violadas y torturadas. Es el primer asomo de la novela a sus procelosos caudales, repletos de personajes memorables cuyas historias, a caballo entre la risa y el horror, abarcan dos continentes e incluyen un vertiginoso travelling por la historia europea del siglo XX. 2666 confirma el veredicto de Susan Sontag: ""el más influyente y admirado novelista en lengua española de su generación. Su muerte, a los cincuenta años, es una gran pérdida para la literatura"".",4.5,Positivo,Fiction
31 Hours,Masha Hamilton,"A woman in New York awakens knowing, as deeply as a mother’s blood can know, that her grown son is in danger. She has not heard from him in weeks. His name is Jonas. His girlfriend, Vic, doesn’t know what she has done wrong, but Jonas won’t answer his cell phone. We soon learn that Jonas is isolated in a safe-house apartment in New York City, pondering his conversion to Islam and his experiences training in Pakistan, preparing for the violent action he has been instructed to take in 31 hours. Jonas’s absence from the lives of those who love him causes a cascade of events, and as the novel moves through the streets and subways of New York we come to know intimately the lives of its characters. We also learn to feel deeply the connections and disconnections that occur between young people and their parents not only in this country but in the Middle East as well.Carried by Hamilton’s highly-lauded prose, this story about the helplessness of those who cannot contact a beloved young man who is on a devastatingly confused path is compelling on the most human level.",3.3,Negativo,Fiction
365 Things Every Tea Lover Should Know,Harvest House Publishers,"This fun, attractive collection rejoices in all there is to learn, savor, praise, and enjoy about tea. Every turn of the page offers a feast of Sized and designed for maximum gift–giving appeal, this presentation will serve joy to anyone longing for the restorative and flavorful spirit of tea.",3.5,Positivo,Nonfiction
4 3 2 1,Paul Auster,"Nearly two weeks early, on March 3, 1947, in the maternity ward of Beth Israel Hospital in Newark, New Jersey, Archibald Isaac Ferguson, the one and only child of Rose and Stanley Ferguson, is born. From that single beginning, Ferguson’s life will take four simultaneous and independent fictional paths. Four identical Fergusons made of the same DNA, four boys who are the same boy, go on to lead four parallel and entirely different lives. Family fortunes diverge. Athletic skills and sex lives and friendships and intellectual passions contrast. Each Ferguson falls under the spell of the magnificent Amy Schneiderman, yet each Amy and each Ferguson have a relationship like no other. Meanwhile, readers will take in each Ferguson’s pleasures and ache from each Ferguson’s pains, as the mortal plot of each Ferguson’s life rushes on.As inventive and dexterously constructed as anything Paul Auster has ever written, yet with a passion for realism and a great tenderness and fierce attachment to history and to life itself that readers have never seen from Auster before. 4 3 2 1 is a marvelous and unforgettably affecting tour de force.",3.3,Negativo,Fiction
62: A Model Kit,Julio Cortázar,"As one of the main characters, the intellectual Juan, puts it: to one person the City might appear as Paris, to another it might be where one goes upon getting out of bed in Barcelona; to another it might appear as a beer hall in Oslo. This cityscape, as Carlos Fuentes describes it, ""seems drawn up by the Marx Brothers with an assist from Bela Lugosi!"" It is the meeting place for a wild assortment of bohemians in a novel described by The New York Times as ""Deeply touching, enjoyable, beautifully written and fascinatingly mysterious."" Library Journal has said 62: A Model Kit is ""a highly satisfying work by one of the most extraordinary writers of our time.""",5.0,Positivo,Fiction
"84, Charing Cross Road",Helene Hanff,"This charming classic, first published in 1970, brings together twenty years of correspondence between Helene Hanff, a freelance writer living in New York City, and a used-book dealer in London. Through the years, though never meeting and separated both geographically and culturally, they share a winsome, sentimental friendship based on their common love for books. Their relationship, captured so acutely in these letters, is one that will grab your heart and not let go. [text from the back cover of the book]",4.0,Positivo,Nonfiction
99 francs,Frédéric Beigbeder,"En ce temps-là, on mettait des photographies géantes de produits sur les murs, les arrêts d'autobus, les maisons, le sol, les taxis, les camions, la façade des immeubles en cours de ravalement, les meubles, les ascenseurs, les distributeurs de billets, dans toutes les rues et même à la campagne. La vie était envahie par des soutiens-gorge, des surgelés, des shampoings antipelliculaires et des rasoirs triple-lame. L'œil humain n'avait jamais été autant sollicité de toute son histoire : on avait calculé qu'entre sa naissance et l'âge de 18 ans, toute personne était exposée en moyenne à 350 000 publicités. Même à l'orée des forêts, au bout des petits villages, en bas des vallées isolées et au sommet des montagnes blanches, sur les cabines de téléphérique, on devait affronter des logos ""Castorama"", ""Bricodécor"", ""Champion Midas"" et ""La Halle aux Vêtements"". Il avait fallu deux mille ans pour en arriver là.",2.0,Negativo,Fiction
A Balcony in the Forest,Julien Gracq,"In the Ardennes Forest on the Belgian border the French guns point north-east, awaiting the German onslaught. One reinforced-concrete blockhouse in the heart of the forest is manned, this winter of 1939/40, by Lieutenant Grange with three men, who live in a chalet built over it. Cut off from the rest of the world, their senses heightened to capture the sounds and smells of the forest, the men create their own security as autumn turns to winter. Later, though, when winter turns to spring, when the sap rises and the panzer divisions attack, Lieutenant Grange meets the fate he has never believed he would escape. But if this is a story of soldiers, it is not about fighting. It is about solitude, about watching and waiting - and about love, the young Lieutenant's devotion to Mona, the child-widow discovered like a sprite in the forest one rainy night, who, in this surreal period of suspense, becomes his lover.",4.5,Positivo,Fiction
A Bell for Adano,John Hersey,An Italian-American major during World War II wins the love and admiration of the local townspeople when he searches for a replacement for the 700 year-old town bell that had been melted down for bullets by the fascists.,4.5,Positivo,Fiction
A Bite's Tale,Veronica Blade,"A Cinderella who spends her nights as a wolf. A prince with a taste for blood.  Seventeen year old Cydney struggles against her werewolf nature, trying to keep everyone around her safe. No way will she risk exposing the beast at the prince's ball, no matter how her two cousins try to persuade her. As she attempts to carve out some semblance of a life, Cydney can't forget the boy she loved three summers ago - or what she did to him after losing control.  Turned into a vampire to save his life, the prince refuses to live up to his royal duties. He just wants to find the girl he loved and lost...the werewolf girl who bit him. But his father, the king, commands him to attend a ball where he must choose a wife. Can he find his Cinderella before he's forced to marry another? He doesn't even have her real name, much less a glass slipper.",4.0,Positivo,Fantasy
A Bold Fresh Piece of Humanity,Bill O'Reilly,"The year was 1957, the month September, and I had just turned eight years old. Dwight Eisenhower was President, but in my life it was the diminutive, intense Sister Mary Lurana who ruled, at least in the third-grade class where I was held captive. For reasons you will soon understand, my parents had remanded me to the penal institution of St. Brigid's School in Westbury, New York, a cruel and unusual punishment if there ever was one. Already, I had barely survived my first two years at St. Brigid's because I was, well, a little nitwit. Not satisfied with memorizing the Baltimore Catechism's fine prose, which featured passages like ""God made me to show his goodness and to make me happy with him in heaven,"" I was constantly annoying my classmates and, of course, the no-nonsense Sister Lurana. With sixty overactive students in her class, she was understandably short on patience. For survival, she had also become quick on the draw. Then it happened. One day I blurted out some dumb remark, and Sister Lurana was on me like a panther. Her black habit blocked out all distractions as she leaned down, looked me in the eye, and uttered words I have never forgotten: ""William, you are a bold, fresh piece of humanity."" And she was dead-on. One day in 1957, in the third-grade classroom of St. Brigid's parochial school, an exasperated Sister Mary Lurana bent over a restless young William O'Reilly and said, ""William, you are a bold, fresh piece of humanity."" Little did she know that she was, early in his career as a troublemaker, defining the essence of Bill O'Reilly and providing him with the title of his brash and entertaining issues-based memoir. And this time it's personal. In his most intimate book yet, O'Reilly goes back in time to examine the people, places, and experiences that launched him on his journey from working-class kid to immensely influential television personality and bestselling author. Readers will learn how his traditional outlook was formed in the crucible of his family, his neighborhood, his church, and his schools, and how his views on America's proper role in the world emerged from covering four wars on five continents over three-plus decades as a news correspondent. What will delight his numerous fans and surprise many others is the humor and self-deprecation with which he handles one of his core subjects: himself, and just how O'Reilly became O'Reilly.",4.5,Positivo,Nonfiction
A Book About Absolutely Nothing.,I.M. Nobody,"A book about absolutely nothing at all. A novel that isn't about any subject at all including fiction, nonfiction, fantasy or anything else that could be written about. This book is solely for entertainment and a conversation piece. Please do not take it seriously.",4.5,Positivo,Nonfiction
A Book Dragon,Donn Kushner,"Nonesuch, the last in a line of dragons, uses his unique ability to change in size to survive for six centuries, during which time he observes such different humans as a medieval monk, an eighteenth-century London chemist, and a modern American bookseller.Nonesuch, the last of a family of dragons, survives six centuries, including visits to plague-stricken London and a modern bookstore, without being discovered",3.7,Positivo,Fantasy
A Book of Common Prayer,Joan Didion,"Writing with the telegraphic swiftness and microscopic sensitivity that have made her one of our most distinguished journalists, Joan Didion creates a shimmering novel of innocence and evil.A Book of Common Prayer is the story of two American women in the derelict Central American nation of Boca Grande. Grace Strasser-Mendana controls much of the country's wealth and knows virtually all of its secrets; Charlotte Douglas knows far too little. ""Immaculate of history, innocent of politics,"" she has come to Boca Grande vaguely and vainly hoping to be reunited with her fugitive daughter. As imagined by Didion, her fate is at once utterly particular and fearfully emblematic of an age of conscienceless authority and unfathomable violence.",4.0,Positivo,Fiction
A Breath of Snow and Ashes,Diana Gabaldon,"A Breath of Snow and Ashes continues the extraordinary story of 18th-century Scotsman Jamie Fraser and his 20th-century wife, Claire.The year is 1772, and on the eve of the American Revolution, the long fuse of rebellion has already been lit. Men lie dead in the streets of Boston, and in the backwoods of North Carolina, isolated cabins burn in the forest.With chaos brewing, the governor calls upon Jamie Fraser to unite the backcountry and safeguard the colony for King and Crown. But from his wife Jamie knows that three years hence the shot heard round the world will be fired, and the result will be independence — with those loyal to the King either dead or in exile. And there is also the matter of a tiny clipping from The Wilmington Gazette, dated 1776, which reports Jamie’s death, along with his kin. For once, he hopes, his time-traveling family may be wrong about the future.",3.5,Positivo,Historical Fiction
A Bridge for Passing,Pearl S. Buck,Book by Pearl S. Buck,3.5,Neutral,Nonfiction
